DATE,MORTGAGE15US
1991-09-01,8.6700000000000000
1991-10-01,8.4825000000000000
1991-11-01,8.3260000000000000
1991-12-01,8.0700000000000000
1992-01-01,8.0060000000000000
1992-02-01,8.3825000000000000
1992-03-01,8.5775000000000000
1992-04-01,8.4700000000000000
1992-05-01,8.2940000000000000
1992-06-01,8.0775000000000000
1992-07-01,7.6700000000000000
1992-08-01,7.4900000000000000
1992-09-01,7.4050000000000000
1992-10-01,7.5460000000000000
1992-11-01,7.7950000000000000
1992-12-01,7.7420000000000000
1993-01-01,7.5100000000000000
1993-02-01,7.1700000000000000
1993-03-01,6.9900000000000000
1993-04-01,6.9600000000000000
1993-05-01,6.9275000000000000
1993-06-01,6.9150000000000000
1993-07-01,6.7180000000000000
1993-08-01,6.6275000000000000
1993-09-01,6.4400000000000000
1993-10-01,6.3740000000000000
1993-11-01,6.6875000000000000
1993-12-01,6.6820000000000000
1994-01-01,6.5650000000000000
1994-02-01,6.6550000000000000
1994-03-01,7.1825000000000000
1994-04-01,7.8000000000000000
1994-05-01,8.0775000000000000
1994-06-01,7.9100000000000000
1994-07-01,8.1120000000000000
1994-08-01,8.0200000000000000
1994-09-01,8.1320000000000000
1994-10-01,8.3875000000000000
1994-11-01,8.6650000000000000
1994-12-01,8.8040000000000000
1995-01-01,8.7950000000000000
1995-02-01,8.4600000000000000
1995-03-01,8.0640000000000000
1995-04-01,7.8800000000000000
1995-05-01,7.5100000000000000
1995-06-01,7.0620000000000000
1995-07-01,7.0875000000000000
1995-08-01,7.3600000000000000
1995-09-01,7.1600000000000000
1995-10-01,7.0075000000000000
1995-11-01,6.8875000000000000
1995-12-01,6.7360000000000000
1996-01-01,6.5450000000000000
1996-02-01,6.5600000000000000
1996-03-01,7.1140000000000000
1996-04-01,7.4400000000000000
1996-05-01,7.5780000000000000
1996-06-01,7.8325000000000000
1996-07-01,7.7675000000000000
1996-08-01,7.5180000000000000
1996-09-01,7.7525000000000000
1996-10-01,7.4300000000000000
1996-11-01,7.1420000000000000
1996-12-01,7.0975000000000000
1997-01-01,7.3280000000000000
1997-02-01,7.1500000000000000
1997-03-01,7.4050000000000000
1997-04-01,7.6750000000000000
1997-05-01,7.4720000000000000
1997-06-01,7.2350000000000000
1997-07-01,7.0375000000000000
1997-08-01,7.0160000000000000
1997-09-01,6.9875000000000000
1997-10-01,6.8480000000000000
1997-11-01,6.7600000000000000
1997-12-01,6.6625000000000000
1998-01-01,6.5760000000000000
1998-02-01,6.6375000000000000
1998-03-01,6.7425000000000000
1998-04-01,6.7800000000000000
1998-05-01,6.7840000000000000
1998-06-01,6.6675000000000000
1998-07-01,6.6240000000000000
1998-08-01,6.6125000000000000
1998-09-01,6.4025000000000000
1998-10-01,6.3640000000000000
1998-11-01,6.5050000000000000
1998-12-01,6.3900000000000000
1999-01-01,6.4250000000000000
1999-02-01,6.4375000000000000
1999-03-01,6.6750000000000000
1999-04-01,6.5280000000000000
1999-05-01,6.7475000000000000
1999-06-01,7.1775000000000000
1999-07-01,7.2560000000000000
1999-08-01,7.5275000000000000
1999-09-01,7.4425000000000000
1999-10-01,7.4660000000000000
1999-11-01,7.3550000000000000
1999-12-01,7.5220000000000000
2000-01-01,7.8025000000000000
2000-02-01,7.9325000000000000
2000-03-01,7.8320000000000000
2000-04-01,7.8000000000000000
2000-05-01,8.1825000000000000
2000-06-01,7.9920000000000000
2000-07-01,7.8650000000000000
2000-08-01,7.7625000000000000
2000-09-01,7.6040000000000000
2000-10-01,7.4700000000000000
2000-11-01,7.4175000000000000
2000-12-01,7.0560000000000000
2001-01-01,6.6400000000000000
2001-02-01,6.6400000000000000
2001-03-01,6.5080000000000000
2001-04-01,6.5950000000000000
2001-05-01,6.6750000000000000
2001-06-01,6.7000000000000000
2001-07-01,6.6825000000000000
2001-08-01,6.5000000000000000
2001-09-01,6.3400000000000000
2001-10-01,6.0975000000000000
2001-11-01,6.1460000000000000
2001-12-01,6.5425000000000000
2002-01-01,6.4800000000000000
2002-02-01,6.3750000000000000
2002-03-01,6.5160000000000000
2002-04-01,6.4750000000000000
2002-05-01,6.2800000000000000
2002-06-01,6.1050000000000000
2002-07-01,5.9300000000000000
2002-08-01,5.7020000000000000
2002-09-01,5.5075000000000000
2002-10-01,5.5000000000000000
2002-11-01,5.4640000000000000
2002-12-01,5.4500000000000000
2003-01-01,5.3040000000000000
2003-02-01,5.2200000000000000
2003-03-01,5.0650000000000000
2003-04-01,5.1175000000000000
2003-05-01,4.8600000000000000
2003-06-01,4.6275000000000000
2003-07-01,4.9675000000000000
2003-08-01,5.5880000000000000
2003-09-01,5.4575000000000000
2003-10-01,5.2740000000000000
2003-11-01,5.2725000000000000
2003-12-01,5.2040000000000000
2004-01-01,5.0150000000000000
2004-02-01,4.9375000000000000
2004-03-01,4.7400000000000000
2004-04-01,5.1580000000000000
2004-05-01,5.6375000000000000
2004-06-01,5.6600000000000000
2004-07-01,5.4640000000000000
2004-08-01,5.2600000000000000
2004-09-01,5.1440000000000000
2004-10-01,5.1150000000000000
2004-11-01,5.1350000000000000
2004-12-01,5.1780000000000000
2005-01-01,5.1725000000000000
2005-02-01,5.1500000000000000
2005-03-01,5.4640000000000000
2005-04-01,5.4075000000000000
2005-05-01,5.2800000000000000
2005-06-01,5.1680000000000000
2005-07-01,5.2775000000000000
2005-08-01,5.4000000000000000
2005-09-01,5.3580000000000000
2005-10-01,5.6250000000000000
2005-11-01,5.8625000000000000
2005-12-01,5.8160000000000000
2006-01-01,5.7100000000000000
2006-02-01,5.8600000000000000
