DATE,Mortgage_15yr,Gross Domestic Product,Home_price_index,Economic_growth,Construction_inflation,Wealth_density_index
1993-01-01,0.8056765280072082,0.0,76.78399999999999,0.06907571416414272,0.12113372334271594,0.09187504384202629
1993-02-01,0.7546178104820545,0.0013462780645535632,76.837,0.06790174757124685,0.12009734780281833,0.09027250972346397
1993-03-01,0.7275867247334434,0.00269255612910696,76.867,0.06712577615081688,0.11939150180011736,0.08860088616404932
1993-04-01,0.7230815437753416,0.004038834193660523,76.936,0.06518918408715926,0.11772134982428975,0.08685805263707919
1993-05-01,0.7182009310707312,0.005278043515812958,77.03699999999999,0.06365177043161119,0.11635249299926873,0.08503026737136771
1993-06-01,0.7163237723381889,0.006517252837965337,77.242,0.06328277270990738,0.11612126729846992,0.0831033429896158
1993-07-01,0.6867397507133203,0.007756462160117661,77.429,0.06253126425737857,0.11548987531546567,0.08112561398852161
1993-08-01,0.6731491214897133,0.009986256377755132,77.613,0.0614205702107211,0.11459747680814349,0.07912767129291898
1993-09-01,0.6449917405015769,0.012216050595392547,77.795,0.06070368558125117,0.11402729885622247,0.07713160909098508
1993-10-01,0.6350803423937527,0.014445844813030073,77.942,0.05848229748793632,0.11200730118287502,0.07526019753482403
1993-11-01,0.6821594834059167,0.01617212290400777,78.149,0.057023713762901676,0.11118692212865028,0.07362598515710403
1993-12-01,0.681333533563598,0.01789840099498541,78.32600000000001,0.05595373413168582,0.1106482625726361,0.0725999371657511
1994-01-01,0.6637633278270011,0.019624679085963215,78.59100000000001,0.0560136295380864,0.11019447137522609,0.07077788492226224
1994-02-01,0.6772788707013065,0.021848358477464414,78.727,0.054606790770077004,0.10894126313163012,0.06942977053583968
1994-03-01,0.7564949692145968,0.02407203786896578,78.85600000000001,0.05321758705920396,0.10791121954997931,0.06788903310820704
1994-04-01,0.8492266106021926,0.026295717260467033,78.987,0.052945786219850854,0.10780569988048684,0.06642536077449433
1994-05-01,0.8908995344646344,0.027720996846070878,79.222,0.05191242521809637,0.10702799499688011,0.06484033259679067
1994-06-01,0.8657456074485659,0.029146276431674667,79.423,0.050523778232136815,0.10595651500931712,0.06307359605233688
1994-07-01,0.8960804925664514,0.030571556017278567,79.595,0.04878408399469311,0.10450640136913453,0.061381138882197775
1994-08-01,0.8822646042949391,0.03267554742684553,79.781,0.04673929619715496,0.10275440496214201,0.05963976006613457
1994-09-01,0.8990839465385192,0.03477953883641255,79.919,0.04579407441276354,0.10187591707081861,0.057987591065925444
1994-10-01,0.9374530710316864,0.03688353024597957,80.065,0.04557355370585241,0.10136644636839871,0.05663844978139578
1994-11-01,0.9791259948941282,0.038018431813709175,80.15,0.044227934041473384,0.1004373276328103,0.05512801518612818
1994-12-01,1.0,0.03915333338143878,80.297,0.04324515803423409,0.09967649824416916,0.053812946143042564
1995-01-01,0.9986484457125694,0.04028823494916839,80.42699999999999,0.04191641416201146,0.09860826419773247,0.05262607292926232
1995-02-01,0.9483405916804326,0.04128266490153132,80.528,0.04058539125227145,0.09711493866854,0.05139579924188835
1995-03-01,0.8888722030334886,0.04227709485389436,80.59899999999999,0.0396130013256844,0.09649378540780046,0.050094789843385834
1995-04-01,0.8612404264904641,0.04327152480625729,80.661,0.03759724385682681,0.0947562029141621,0.048721698206207024
1995-05-01,0.8056765280072082,0.04500142775261773,80.704,0.03670744635061503,0.09384473466613127,0.04726189002878046
1995-06-01,0.7383991590328879,0.046731330698978,80.78399999999999,0.03582793818874921,0.09318814404250339,0.04578350958504945
1995-07-01,0.7422285628472743,0.04846123364533844,80.937,0.03530333548024889,0.0926835163225177,0.0442839079336068
1995-08-01,0.7831506232166994,0.0499765756424827,81.11,0.03442120851998836,0.09205381746486216,0.04267760194254833
1995-09-01,0.7531160834960204,0.051491917639626905,81.307,0.03388970643574885,0.09168096018249969,0.04108892369039347
1995-10-01,0.7302147469590029,0.053007259636771165,81.482,0.03268399405097537,0.09061556486387436,0.03964077735454553
1995-11-01,0.7121940231265956,0.05463136423397191,81.619,0.03217926612803442,0.09020992396831615,0.03837781644430101
1995-12-01,0.6894428592881813,0.05625546883117277,81.737,0.031680978247096966,0.08967937185909353,0.037309428955852125
1996-01-01,0.6607598738549331,0.057879573428373576,81.834,0.029177453394571222,0.0887490807166453,0.03641063955640453
1996-02-01,0.663012464333984,0.060663801133793716,81.954,0.028508342937023035,0.08736760071643382,0.03573602892740697
1996-03-01,0.7462081393602643,0.06344802883921385,82.194,0.027196274134718833,0.08652215505543716,0.034749720050168444
1996-04-01,0.7951644391049708,0.066232256544634,82.421,0.0255848066878561,0.08627146067088698,0.03365710594736569
1996-05-01,0.8158882715122391,0.06790185815846028,82.61,0.024828904100849238,0.08634932207359647,0.03255398891690926
1996-06-01,0.8541072233068028,0.06957145977228657,82.75200000000001,0.024082932189989192,0.08576045827955822,0.0314427442337056
1996-07-01,0.8443459978975822,0.0712410613861128,82.929,0.02334689095527557,0.08478807797885725,0.029784321032785853
1996-08-01,0.8068779095960354,0.07341534788838111,83.086,0.02301320319860741,0.08465830743648844,0.028368741954964583
1996-09-01,0.8420934074185313,0.07558963439064947,83.256,0.02173496772203884,0.08451248170303333,0.027118704189147122
1996-10-01,0.7936627121189368,0.07776392089291778,83.37700000000001,0.02047828642434886,0.08391723234740096,0.025724398542738752
1996-11-01,0.7504129749211594,0.07950662940315334,83.552,0.01917513390190887,0.08261027739136667,0.024631971711417205
1996-12-01,0.7437302898333084,0.0812493379133889,83.721,0.0182013697733499,0.08007134180170009,0.023735409330193025
