DATE,Mortgage_15yr,Mortgage_30yr,Consumer price index,Gross Domestic Product,Monthly_supply_houses,Personal_income,Population,Total_construction,Unemployment_rate,Home_price_index
1993-01-01,0.805676528007208,0.8149370586429228,0.0,-1.5276382051631494,-0.1570447915900497,-1.4731768664650127,0.0,-1.6187888381819144,0.3,76.78399999999999
1993-02-01,0.7546178104820542,0.7673472520724594,0.0019292604501606192,-1.5224459398103773,-0.21274540732642233,-1.4657273931701518,0.0031379506666491253,-1.6039577408704817,0.29090909090909095,76.837
1993-03-01,0.7275867247334433,0.7385630948725821,0.003215434083601365,-1.5172536744576053,-0.1570447915900497,-1.4663866385944757,0.006408304315013158,-1.617820735042494,0.2818181818181818,76.867
1993-04-01,0.7230815437753415,0.7350322382560639,0.006430868167202619,-1.5120614091048328,-0.5469491017446564,-1.453904925227275,0.009903743032293022,-1.5843589632078603,0.29090909090909095,76.936
1993-05-01,0.7182009310707311,0.7339576297206016,0.009003215434083556,-1.5072820817150054,-0.21274540732642233,-1.450366974783403,0.013544825029459862,-1.5856548254038867,0.2818181818181818,77.03699999999999
1993-06-01,0.7163237723381888,0.7266656432299663,0.009646302250803873,-1.5025027543251785,-0.2684460230627945,-1.4514657171572762,0.017344790604684412,-1.5515162918134826,0.2818181818181818,77.242
1993-07-01,0.6867397507133202,0.6941971139085048,0.010932475884244397,-1.4977234269353514,-0.21274540732642233,-1.4454885586434054,0.02134336065248199,-1.5414285964046015,0.27272727272727276,77.429
1993-08-01,0.6731491214897132,0.6798434141848326,0.012861736334405127,-1.4891236557848866,-0.10134417585367751,-1.4406760670458405,0.02539489189296562,-1.5173838278352378,0.2636363636363636,77.613
1993-09-01,0.6449917405015768,0.6495241019342952,0.014147909967845651,-1.480523884634422,-0.4355478702719115,-1.4421923315217857,0.029340500748076703,-1.4997728481548116,0.2636363636363636,77.795
1993-10-01,0.6350803423937526,0.6370893460239482,0.01800643086816711,-1.4719241134839571,-0.37984725453553936,-1.4435108223704336,0.033034543937929595,-1.5133505705553332,0.2636363636363636,77.942
1993-11-01,0.6821594834059166,0.6863678231501382,0.02057877813504816,-1.4652662809328443,-0.4912484860082842,-1.4379511859586347,0.036424060269837355,-1.4432131672476765,0.24545454545454543,78.149
1993-12-01,0.6813335335635979,0.6889775867362602,0.022508038585209,-1.4586084483817319,-0.6583503332174012,-1.3941333400885676,0.039681173620029764,-1.3909659457797774,0.24545454545454543,78.32600000000001
1994-01-01,0.663763327827001,0.6717838501688669,0.022508038585209,-1.4519506158306192,0.12145828709181215,-1.4193604649926983,0.042660240708620734,-1.4511643591764576,0.24545454545454543,78.59100000000001
1994-02-01,0.6772788707013064,0.685984034387473,0.025080385852089937,-1.4433744280695904,-0.37984725453553936,-1.4151852439719799,0.045520145113667976,-1.4515224662938608,0.24545454545454543,78.727
1994-03-01,0.7564949692145966,0.7661958857844642,0.027652733118970985,-1.434798240308561,-0.4912484860082842,-1.4082851418640554,0.04888318084923293,-1.4277174474047925,0.23636363636363628,78.85600000000001
1994-04-01,0.8492266106021924,0.8645993245317778,0.02829581993569119,-1.4262220525475322,-0.2684460230627945,-1.3948585100553237,0.05236537926834117,-1.4064040043071473,0.2181818181818181,78.987
1994-05-01,0.8908995344646342,0.9078139392078599,0.030225080385852032,-1.4207250976426042,-0.21274540732642233,-1.390331691474966,0.055807856792934984,-1.3934605563772804,0.19090909090909086,79.222
1994-06-01,0.8657456074485657,0.8771108381946577,0.03279742765273308,-1.4152281427376765,0.28856013430092914,-1.388925301236408,0.059515140280959056,-1.3817158568488899,0.2,79.423
1994-07-01,0.8960804925664512,0.9103469450414492,0.036012861736334334,-1.4097311878327485,0.34426075003730133,-1.3825745703154204,0.06330186555801243,-1.378577867362493,0.2,79.595
1994-08-01,0.8822646042949389,0.8947651212772487,0.039871382636656016,-1.4016166073563532,0.2328595185645565,-1.3776741793279454,0.06715479232592303,-1.3763685285364806,0.2,79.781
1994-09-01,0.899083946538519,0.9143383481731655,0.04180064308681675,-1.393502026879958,0.17715890282818433,-1.3704664293553366,0.07096799819931965,-1.3755946529861605,0.18181818181818182,79.919
1994-10-01,0.9374530710316862,0.9580902671169789,0.042443729903537064,-1.3853874464035627,-0.045643560117305346,-1.3564464766647133,0.07455611900379999,-1.3905926646319757,0.17272727272727267,80.065
1994-11-01,0.979125994894128,0.9957015658581516,0.04501607717041811,-1.3810104085210628,0.34426075003730133,-1.3542270170694892,0.07787943384485008,-1.3727571093016526,0.16363636363636364,80.15
1994-12-01,0.9999999999999998,1.0,0.04694533762057873,-1.376633370638563,0.5113625972464183,-1.3470412419443576,0.0810968263005285,-1.364733082026959,0.1454545454545454,80.297
1995-01-01,0.9986484457125693,0.9922474669941665,0.04951768488745978,-1.372256332756063,0.6227638287191631,-1.338141428715984,0.08418181577449113,-1.3582507362407465,0.15454545454545454,80.42699999999999
1995-02-01,0.9483405916804324,0.9431225053730428,0.052090032154340826,-1.368421059551099,0.901266907401025,-1.33271364138905,0.08717412316125372,-1.3767751925511589,0.13636363636363635,80.528
1995-03-01,0.8888722030334884,0.8870125882714153,0.054019292604501445,-1.3645857863461346,0.6227638287191631,-1.326780432570134,0.09037827531876008,-1.3619380256275668,0.13636363636363635,80.59899999999999
1995-04-01,0.8612404264904638,0.8652133865520417,0.05787781350482324,-1.3607505131411706,0.5670632129827909,-1.3215943685654523,0.09371483045798179,-1.360781764511206,0.16363636363636364,80.661
