DATE,Mortgage_15yr,Gross Domestic Product,Home_price_index,Economic_growth,Construction_inflation,Wealth_density_index
1993-01-01,0.805676528007208,-1.5276382051631494,76.78399999999999,-0.0,-0.0,-0.0
1993-02-01,0.7546178104820542,-1.5224459398103771,76.837,-0.0029371947391837456,-0.0030944522331903643,-0.004599380250524125
1993-03-01,0.7275867247334433,-1.5172536744576053,76.867,-0.004878629178320295,-0.005201995932612544,-0.009397051823582534
1993-04-01,0.7230815437753415,-1.5120614091048328,76.936,-0.009723867582667777,-0.010188803621915545,-0.0143991007728361
1993-05-01,0.7182009310707311,-1.5072820817150054,77.03699999999999,-0.013570385301614045,-0.01427599199720525,-0.019644966901948127
1993-06-01,0.7163237723381888,-1.5025027543251783,77.242,-0.014493595700885877,-0.014966395097879164,-0.02517536893397103
1993-07-01,0.6867397507133202,-1.4977234269353514,77.429,-0.01637382524623846,-0.016851630957477846,-0.030851583626162436
1993-08-01,0.6731491214897132,-1.4891236557848866,77.613,-0.01915271583003063,-0.01951619071170717,-0.03658581297541198
1993-09-01,0.6449917405015768,-1.480523884634422,77.795,-0.020946318625052827,-0.021218651227913644,-0.04231464518188543
1993-10-01,0.6350803423937526,-1.4719241134839571,77.942,-0.02650409979263702,-0.027250042428005845,-0.04768572168647283
1993-11-01,0.6821594834059166,-1.4652662809328445,78.149,-0.030153389704084068,-0.02969956357037,-0.05237602066244133
1993-12-01,0.6813335335635979,-1.458608448381732,78.32600000000001,-0.03283041523688786,-0.03130791517832296,-0.05532084711752636
1994-01-01,0.663763327827001,-1.4519506158306192,78.59100000000001,-0.03268056048493355,-0.0326628633898238,-0.060550259088888315
1994-02-01,0.6772788707013064,-1.4433744280695904,78.727,-0.036200387585024904,-0.03640474352762718,-0.06441943766832604
1994-03-01,0.7564949692145966,-1.434798240308561,78.85600000000001,-0.039676092818821715,-0.0394802895423831,-0.06884145727702823
1994-04-01,0.8492266106021924,-1.4262220525475322,78.987,-0.04035612238719674,-0.03979535446270997,-0.07304229490472021
1994-05-01,0.8908995344646342,-1.4207250976426042,79.222,-0.04294153028244515,-0.042117457331017356,-0.07759143193251385
1994-06-01,0.8657456074485657,-1.4152281427376765,79.423,-0.046415842623550634,-0.04531672585163545,-0.08266208414285806
1994-07-01,0.8960804925664512,-1.4097311878327483,79.595,-0.050768454352819084,-0.04964653413009607,-0.0875195495740335
1994-08-01,0.8822646042949389,-1.4016166073563532,79.781,-0.055884392061796795,-0.0548777162503292,-0.09251742340555458
1994-09-01,0.899083946538519,-1.393502026879958,79.919,-0.05824928086636477,-0.05750074112160796,-0.0972592590907175
1994-10-01,0.9374530710316862,-1.3853874464035627,80.065,-0.05880101058690366,-0.05902193946347938,-0.10113138493649944
1994-11-01,0.979125994894128,-1.3810104085210628,80.15,-0.06216767112313479,-0.061796139968563264,-0.10546643338677184
1994-12-01,0.9999999999999998,-1.376633370638563,80.297,-0.0646265183643826,-0.06406785529772852,-0.10924076961760976
1995-01-01,0.9986484457125692,-1.372256332756063,80.42699999999999,-0.06795095667023578,-0.06725743195532942,-0.1126471752323833
1995-02-01,0.9483405916804324,-1.368421059551099,80.528,-0.07128109699269386,-0.07171626404928862,-0.11617814311313193
1995-03-01,0.8888722030334884,-1.3645857863461346,80.59899999999999,-0.07371395887657547,-0.07357092871557246,-0.11991212722236706
1995-04-01,0.8612404264904638,-1.3607505131411706,80.661,-0.07875726442617714,-0.07875907318714381,-0.12385299218433474
1995-05-01,0.805676528007208,-1.3540787004090626,80.704,-0.08098348497623317,-0.08148057214868791,-0.12804273942468233
1995-06-01,0.7383991590328878,-1.3474068876769552,80.78399999999999,-0.08318396219741975,-0.08344104713421095,-0.1322857903132073
1995-07-01,0.7422285628472742,-1.3407350749448472,80.937,-0.08449648703832491,-0.08494778510218123,-0.1365897474891621
1995-08-01,0.7831506232166991,-1.334890771337344,81.11,-0.08670351633766647,-0.08682796555925967,-0.1411999532663726
1995-09-01,0.7531160834960202,-1.3290464677298406,81.307,-0.08803330300718532,-0.08794125799588143,-0.1457595662523061
1995-10-01,0.7302147469590028,-1.3232021641223373,81.482,-0.09104992383349829,-0.09112235866454091,-0.14991584322626747
1995-11-01,0.7121940231265955,-1.3169383897570317,81.619,-0.09231272314052487,-0.09233353774664997,-0.15354062562589202
1995-12-01,0.6894428592881812,-1.3106746153917257,81.737,-0.09355940984468247,-0.09391768181026805,-0.1566069692733441
1996-01-01,0.660759873854933,-1.30441084102642,81.834,-0.09982308043867738,-0.09669538293543202,-0.15918655504647478
1996-02-01,0.6630124643339839,-1.2936727554631853,81.954,-0.10149715509100234,-0.1008202621005506,-0.16112273273396677
1996-03-01,0.7462081393602642,-1.2829346698999509,82.194,-0.10477987336160374,-0.1033446281367952,-0.16395350527000313
1996-04-01,0.7951644391049706,-1.2721965843367162,82.421,-0.10881166927124324,-0.1040931616251446,-0.16708938092323633
1996-05-01,0.8158882715122389,-1.2657573391015369,82.61,-0.11070289268026305,-0.10386067988255404,-0.17025540068227266
1996-06-01,0.8541072233068026,-1.2593180938663575,82.75200000000001,-0.11256927012696039,-0.10561893334604913,-0.17344474734904577
1996-07-01,0.844345997897582,-1.2528788486311782,82.929,-0.11441080161133611,-0.10852230599155918,-0.1782045330091253
1996-08-01,0.8068779095960352,-1.244493157168195,83.086,-0.11524566857377505,-0.1089097801543275,-0.1822673397713472
1996-09-01,0.8420934074185311,-1.2361074657052116,83.256,-0.11844373787143193,-0.10934519255955605,-0.18585503188093438
